date,forecast
2024-03-01,13423.28
2024-04-01,13626.02
2024-05-01,14109.64
2024-06-01,16012.38
2024-07-01,13996.68
2024-08-01,13778.13
2024-09-01,14518.38
2024-10-01,14882.88
2024-11-01,14983.0
2024-12-01,16836.84
2025-01-01,14974.56
2025-02-01,15267.6
