model,rmse,mase,smape,horizon,timestamp
naive,1.9493,41.3742,4.66,365,2025-05-18T19:10:09.656789+00:00
seasonal_naive,4.0896,87.0287,10.12,365,2025-05-18T19:10:09.658304+00:00
ets_add_add,0.8764,17.3839,1.94,365,2025-05-18T19:10:18.756707+00:00
auto_arima,0.951,18.5928,2.08,365,2025-05-18T19:11:59.591197+00:00
