date,forecast
30.03.2025,69611.5
30.04.2017,82371.6
30.04.2018,1351.9
30.04.2019,9245.1
30.04.2020,5320.8
30.04.2021,8629.0
30.04.2022,57720.3
30.04.2023,37650.0
30.04.2024,29252.1
30.04.2025,60666.6
30.05.2017,94184.4
30.05.2018,2192.6
30.05.2019,7400.1
30.05.2020,8271.9
30.05.2021,9692.5
30.05.2022,35652.8
30.05.2023,31723.3
30.05.2024,27698.2
30.06.2017,68354.7
30.06.2018,2480.6
30.06.2019,6398.9
30.06.2020,10818.6
30.06.2021,9135.4
30.06.2022,35026.9
30.06.2023,19926.6
30.06.2024,30472.9
30.07.2017,62754.3
30.07.2018,2766.5
30.07.2019,8177.1
30.07.2020,9580.7
30.07.2021,11096.2
30.07.2022,42203.4
30.07.2023,23634.2
30.07.2024,29281.7
30.08.2017,66184.9
30.08.2018,4583.0
30.08.2019,6993.7
30.08.2020,9585.4
30.08.2021,11702.0
30.08.2022,46992.7
30.08.2023,19792.6
30.08.2024,27298.8
30.09.2017,59119.7
30.09.2018,4360.6
30.09.2019,6635.2
30.09.2020,8284.3
30.09.2021,10776.1
30.09.2022,43823.3
30.09.2023,19423.0
30.09.2024,26962.7
30.10.2017,63339.2
30.10.2018,6124.3
30.10.2019,6325.7
30.10.2020,9157.9
30.10.2021,13559.9
30.10.2022,61840.1
30.10.2023,20626.3
30.10.2024,34477.9
30.11.2017,72347.8
30.11.2018,9946.8
30.11.2019,4039.7
30.11.2020,7546.6
30.11.2021,19698.1
30.11.2022,56882.9
30.11.2023,17163.9
30.11.2024,37712.9
30.12.2017,96405.7
30.12.2018,12531.5
30.12.2019,3815.0
30.12.2020,7261.8
30.12.2021,28868.7
30.12.2022,47123.3
30.12.2023,16607.2
30.12.2024,42136.7
31.01.2017,92779.8
31.01.2018,965.5
31.01.2019,10265.4
31.01.2020,3437.2
31.01.2021,9349.1
31.01.2022,33108.1
31.01.2023,38498.6
31.01.2024,23125.1
31.01.2025,42580.5
31.03.2017,102424.2
31.03.2018,1079.1
31.03.2019,6938.2
31.03.2020,4102.3
31.03.2021,6412.5
31.03.2022,58763.7
31.03.2023,45525.0
31.03.2024,28473.7
31.03.2025,71332.0
31.05.2017,82548.8
31.05.2018,2303.3
31.05.2019,7502.6
31.05.2020,8558.3
31.05.2021,9454.8
31.05.2022,37298.6
31.05.2023,31793.4
31.05.2024,27216.1
31.07.2017,67530.1
31.07.2018,2883.3
31.07.2019,7729.4
31.07.2020,10082.0
31.07.2021,11333.4
31.07.2022,41553.7
31.07.2023,23303.4
31.07.2024,29232.4
31.08.2017,64626.0
31.08.2018,4735.1
31.08.2019,7033.8
31.08.2020,9594.4
31.08.2021,11644.2
31.08.2022,47130.4
31.08.2023,20043.9
31.08.2024,25937.3
31.10.2017,58978.6
31.10.2018,6451.2
31.10.2019,6365.9
31.10.2020,9152.6
31.10.2021,13797.3
31.10.2022,61309.6
31.10.2023,20496.3
31.10.2024,34650.6
31.12.2017,70281.8
31.12.2018,13850.4
31.12.2019,3709.4
31.12.2020,7196.4
31.12.2021,28949.4
31.12.2022,46219.5
31.12.2023,16537.4
31.12.2024,42272.5
